                        Player                    ,Pos,Age,YOE,Prev Team,Prev AAV,Type
Mason Jones,SG,26.9,4.0,SAC,0.0,UFA / Two-Way
Adam Flagler,G,25.6,2.0,OKC,0.0,UFA / Two-Way
Justin Minaya,F,26.2,3.0,POR,0.0,RFA / Two-Way
Dru Smith,SG,27.5,2.0,MIA,0.0,RFA / Two-Way
Jalen Bridges,SG,24.1,1.0,PHX,0.0,UFA / Two-Way
Isaiah Crawford,G,23.7,1.0,SAC,0.0,RFA / Two-Way
Drew Peterson,F,25.7,2.0,BOS,0.0,UFA / Two-Way
Reece Beekman,PG,23.8,1.0,BKN,0.0,UFA / Two-Way
Daniss Jenkins,G,23.8,1.0,DET,0.0,RFA / Two-Way
N'Faly Dante,PF,23.7,1.0,HOU,0.0,UFA / Two-Way
P.J. Hall,PF,23.3,1.0,DEN,0.0,UFA / Two-Way
Bryce McGowens,SG,22.7,3.0,POR,0.0,UFA / Two-Way
Jamal Cain,SF,26.2,3.0,NOP,0.0,RFA / Two-Way
Keaton Wallace,G,26.3,2.0,ATL,0.0,RFA / Two-Way
Alex Ducas,G,24.5,1.0,OKC,0.0,UFA / Two-Way
Riley Minix,SF,24.8,1.0,SAS,0.0,RFA / Two-Way
Josh Christopher,SG,23.6,3.0,MIA,0.0,UFA / Two-Way
Jack McVeigh,F,29.0,1.0,HOU,0.0,UFA / Two-Way
Quenton Jackson,G,26.8,3.0,IND,0.0,RFA / Two-Way
David Duke Jr.,SG,25.7,4.0,SAS,0.0,UFA / Two-Way
Harrison Ingram,SF,22.6,1.0,SAS,0.0,RFA / Non-Bird
TyTy Washington Jr.,PG,23.6,3.0,PHX,0.0,UFA / Two-Way
Kevin McCullar Jr.,SG,24.2,1.0,NYK,0.0,RFA / Two-Way
Micah Potter,C,27.2,4.0,UTA,0.0,UFA / Two-Way
Kessler Edwards,SF,24.9,4.0,DAL,0.0,UFA / Two-Way
Emoni Bates,SG,21.4,2.0,CLE,0.0,UFA / Two-Way
E.J. Liddell,PF,24.5,3.0,CHI,0.0,UFA / Two-Way
Christian Koloko,C,25.0,2.0,LAL,0.0,RFA / Two-Way
Mac McClung,PG,26.5,3.0,ORL,0.0,UFA / Two-Way
Yuki Kawamura,G,24.2,1.0,MEM,0.0,UFA / Two-Way
Isaiah Stevens,PG,24.7,1.0,MIA,0.0,UFA / Two-Way
Tristen Newton,PG,24.2,1.0,MIN,0.0,RFA / Two-Way
Keion Brooks Jr.,SF,0.0,1.0,NOP,0.0,UFA / Two-Way
Wendell Moore Jr.,SG,23.9,3.0,CHA,0.0,UFA / Two-Way
Taran Armstrong,G,23.4,1.0,GSW,0.0,UFA / Two-Way
Nah'Shon Hyland,PG,24.8,4.0,MIN,0.0,UFA / Two-Way
Jalen Hood-Schifino,PG,22.0,2.0,PHI,0.0,UFA / Two-Way
Jacob Toppin,SF,25.2,2.0,ATL,0.0,RFA / Two-Way
Anton Watson,PF,24.8,1.0,NYK,0.0,UFA / Two-Way
Oscar Tshiebwe,PF,25.6,2.0,UTA,0.0,RFA / Two-Way
Trevelin Queen,SG,28.3,4.0,ORL,0.0,UFA / Two-Way
